time_millisecond,arousal,player_speed,zombie_speed,fog_start_dist,fog_end_dist,current_round,zombie_threshold,zombie_increase_power,max_zombie_alive,number_of_alive_zombies,number_of_killed_zombies,grenade_regen_delay,medic_regen_delay,calibrating,adaptation_condition
714801,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
717811,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
727181,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
727181,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
727181,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
727181,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
727181,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
727181,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
732181,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,4
732181,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,1,4
733181,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,1,4
734181,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,1,4
735191,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,1,4
736201,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
739211,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
988191,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
988191,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
988191,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
988191,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
988191,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
988191,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
993191,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,4
993191,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,1,4
994191,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,1,4
995201,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,1,4
996201,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,1,4
997211,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
1000221,0,1,1,300,1000,1,5,1.3,5,4,1,30,30,1,4
1046131,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
1046131,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
1046131,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
1046131,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
1046131,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
1046131,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
1051121,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,4
1051121,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,1,4
1052131,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,1,4
1053131,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,1,4
1054141,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,1,4
1055141,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
1058161,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
1111421,0,1,1,300,1000,2,5,1.3,5,0,5,30,30,1,4
1111421,0,1,1,300,1000,2,5,1.3,7,0,5,30,30,1,4
1111421,0,1,1,300,1000,2,8,1.3,7,0,5,30,30,1,4
1111421,0,1,1,300,1000,2,8,1.3,7,0,5,30,30,0,4
1111421,0.2105536,1,1,150,710,2,8,1.3,7,0,5,30,30,0,4
1111421,0.2105536,1,1,150,710,2,8,1.3,7,0,5,30,87.36678,0,4
1121431,0.2105536,1,1,150,710,2,8,1.3,7,1,5,30,87.36678,0,4
1121431,0.2105536,1,1,150,710,2,8,1.3,7,2,5,30,87.36678,0,4
1121431,0.2997954,1,1,183,799,2,8,1.3,7,2,5,30,87.36678,0,4
1121431,0.2997954,1,1,183,799,2,8,1.3,7,2,5,30,82.01228,0,4
1122431,0.2997954,1,1,183,799,2,8,1.3,7,3,5,30,82.01228,0,4
1122431,0.2997954,1,1,183,799,2,8,1.3,7,4,5,30,82.01228,0,4
1122431,0.327152,1,1,194,827,2,8,1.3,7,4,5,30,82.01228,0,4
1122431,0.327152,1,1,194,827,2,8,1.3,7,4,5,30,80.37088,0,4
1123441,0.327152,1,1,194,827,2,8,1.3,7,5,5,30,80.37088,0,4
1123441,0.327152,1,1,194,827,2,8,1.3,7,6,5,30,80.37088,0,4
1123441,0.4401642,1,1,237,940,2,8,1.3,7,6,5,30,80.37088,0,4
1123441,0.4401642,1,1,237,940,2,8,1.3,7,6,5,30,73.59015,0,4
1124441,0.4401642,1,1,237,940,2,8,1.3,7,7,5,30,73.59015,0,4
1124441,0.5490781,1,1,278,1049,2,8,1.3,7,7,5,30,73.59015,0,4
1124441,0.5490781,1,1,278,1049,2,8,1.3,7,7,5,30,67.05531,0,4
1125451,0.5789961,1,1,290,1078,2,8,1.3,7,7,5,30,67.05531,0,4
1125451,0.5789961,1,1,290,1078,2,8,1.3,7,7,5,30,65.26023,0,4
1126451,0.5242831,1,1,269,1024,2,8,1.3,7,7,5,30,65.26023,0,4
1126451,0.5242831,1,1,269,1024,2,8,1.3,7,7,5,30,68.54301,0,4
1127461,0.4319675,1,1,234,931,2,8,1.3,7,7,5,30,68.54301,0,4
1127461,0.4319675,1,1,234,931,2,8,1.3,7,7,5,30,74.08195,0,4
1128461,0.4590167,1,1,244,959,2,8,1.3,7,7,5,30,74.08195,0,4
1128461,0.4590167,1,1,244,959,2,8,1.3,7,7,5,30,72.459,0,4
1129471,0.6047134,1,1,299,1104,2,8,1.3,7,7,5,30,72.459,0,4
1129471,0.6047134,1,1,299,1104,2,8,1.3,7,7,5,30,63.71719,0,4
1130471,0.6704921,1,1,324,1170,2,8,1.3,7,7,5,30,63.71719,0,4
1130471,0.6704921,1,1,324,1170,2,8,1.3,7,7,5,30,59.77047,0,4
1131481,0.6602462,1,1,320,1160,2,8,1.3,7,7,5,30,59.77047,0,4
1131481,0.6602462,1,1,320,1160,2,8,1.3,7,7,5,30,60.38523,0,4
1132481,0.6142421,1,1,303,1114,2,8,1.3,7,7,5,30,60.38523,0,4
1132481,0.6142421,1,1,303,1114,2,8,1.3,7,7,5,30,63.14548,0,4
1133491,0.5674183,1,1,285,1067,2,8,1.3,7,7,5,30,63.14548,0,4
1133491,0.5674183,1,1,285,1067,2,8,1.3,7,7,5,30,65.9549,0,4
1134491,0.5441601,1,1,276,1044,2,8,1.3,7,7,5,30,65.9549,0,4
1134491,0.5441601,1,1,276,1044,2,8,1.3,7,7,5,30,67.3504,0,4
1135501,0.5441601,1,1,276,1044,2,8,1.3,7,7,6,30,67.3504,0,4
1135501,0.4772544,1,1,251,977,2,8,1.3,7,7,6,30,67.3504,0,4
