time_millisecond,player_speed,zombie_speed,fog_start_dist,fog_end_dist,current_round,zombie_threshold,zombie_increase_power,max_zombie_alive,number_of_alive_zombies,number_of_killed_zombies,grenade_regen_delay,medic_regen_delay,calibrating,adaptation_condition
228431,1,1,1,450,1500,5,83,1.3,22,22,60,30,40,0,3
228431,1,1,1,450,1500,5,83,1.3,22,22,60,30,40,0,3
229437,1,1,1,450,1500,5,83,1.3,22,22,60,30,40,0,3
229437,1,1,1,450,1500,5,83,1.3,22,22,60,30,40,0,3
230440,1,1,1,450,1500,5,83,1.3,22,22,61,30,40,0,3
230440,1,1,1,450,1500,5,83,1.3,22,22,61,30,40,0,3
230440,1,1,1,450,1500,5,83,1.3,22,22,61,30,40,0,3
231452,1,1,1,450,1500,5,83,1.3,22,22,61,30,40,0,3
231452,1,1,1,450,1500,5,83,1.3,22,22,61,30,40,0,3
232457,1,1,1,450,1500,5,83,1.3,22,22,62,30,40,0,3
232457,1,1,1,450,1500,5,83,1.3,22,22,62,30,40,0,3
232457,1,1,1,450,1500,5,83,1.3,22,22,62,30,40,0,3
233456,1,1,1,450,1500,5,83,1.3,22,22,62,30,40,0,3
